"","Period","log_CPI","log_indu","LIBOR","Neer","Unempl"
"1","1977M01",2.98996195365319,4.20728153910679,13.59,1.713,5.5
"2","1977M02",2.99839116495398,4.20411697950382,11.61,1.7104,5.5
"3","1977M03",3.01114308962156,4.20411697950382,10.42,1.7175,5.5
"4","1977M04",3.02430530784006,4.19456276669901,8.73,1.7192,5.5
"5","1977M05",3.0321636375232,4.22139942065257,7.73,1.7186,5.5
"6","1977M06",3.04337622320216,4.18005808049613,7.89,1.7193,5.6
"7","1977M07",3.04867606790759,4.18491638964721,7.82,1.7225,5.6
"8","1977M08",3.05709650501721,4.19456276669901,6.91,1.7398,5.7
"9","1977M09",3.06482699084641,4.19775765759553,6.14,1.7432,5.7
"10","1977M10",3.07028805180386,4.19456276669901,4.99,1.7708,5.7
"11","1977M11",3.07663122317777,4.18653059500175,5.3,1.8175,5.7
"12","1977M12",3.08254337551615,4.20570051110947,6.81,1.8536,5.7
"13","1978M01",3.08521534116784,4.20411697950382,6.26,1.9347,5.6
"14","1978M02",3.09018240382889,4.20411697950382,6.87,1.9404,5.6
"15","1978M03",3.09660784023348,4.19296148533204,6.82,1.9084,5.6
"16","1978M04",3.10226713764315,4.25207667289962,7.62,1.851,5.6
"17","1978M05",3.10623936024201,4.21827929331633,9.3,1.8183,5.6
"18","1978M06",3.11451697225454,4.21827929331633,10.04,1.8374,5.5
"19","1978M07",3.12297311781209,4.23378347985229,10.18,1.8944,5.5
"20","1978M08",3.1330351274195,4.24144635259786,9.45,1.942,5.5
"21","1978M09",3.13947935131839,4.24144635259786,9.36,1.9589,5.5
"22","1978M10",3.14556403416743,4.22139942065257,10.57,2.0068,5.4
"23","1978M11",3.15391790067996,4.22761062074521,12.07,1.9601,5.4
"24","1978M12",3.16315251709344,4.258100787503,12.36,1.9844,5.3
"25","1979M01",3.17533898925697,4.18653059500175,12.69,2.0051,5.3
"26","1979M02",3.18316121217818,4.258100787503,13.32,2.0035,5.4
"27","1979M03",3.19244672358328,4.27152380783514,12.05,2.0382,5.3
"28","1979M04",3.19648046713185,4.27004122787492,11.69,2.0728,5.3
"29","1979M05",3.20411107821985,4.28476903458516,11.82,2.0579,5.3
"30","1979M06",3.22212290825547,4.3007229625274,13.12,2.1119,5.3
"31","1979M07",3.26815204627778,4.28914540918496,13.98,2.2601,5.3
"32","1979M08",3.27922724431001,4.25358610714847,14.12,2.2384,5.4
"33","1979M09",3.2917132854482,4.2505649568143,14.17,2.1998,5.4
"34","1979M10",3.30335406679112,4.25358610714847,14.21,2.1449,5.4
"35","1979M11",3.31309205637945,4.26706945748576,16.25,2.1328,5.5
"36","1979M12",3.32173565368329,4.27300419300557,16.81,2.2005,5.6
"37","1980M01",3.34451430204917,4.26558025393429,17.16,2.2658,5.7
"38","1980M02",3.35851257896656,4.2429719059067,17.77,2.2898,5.8
"39","1980M03",3.37295410927355,4.23838824623904,18.11,2.2063,6
"40","1980M04",3.39439060508098,4.20886007139984,17.64,2.2162,6.1
"41","1980M05",3.40279781771886,4.2104361158553,17.04,2.304,6.3
"42","1980M06",3.41359172648297,4.21200968030273,16.77,2.3359,6.5
"43","1980M07",3.42475733791108,4.18975120970179,15.88,2.3727,6.8
"44","1980M08",3.42984952403677,4.17354339947494,16.53,2.3705,7.1
"45","1980M09",3.43871753783161,4.15540605149782,16,2.402,7.4
"46","1980M10",3.44598128708767,4.15207271507806,15.98,2.4168,7.7
"47","1980M11",3.45449345622151,4.15207271507806,15.84,2.3964,8
"48","1980M12",3.46176135834178,4.14537252250824,14.73,2.3459,8.3
"49","1981M01",3.46761947661604,4.14369043632526,14.28,2.4047,8.6
"50","1981M02",3.47636730268599,4.15207271507806,13.04,2.2941,8.9
"51","1981M03",3.4920429568899,4.15207271507806,12.65,2.2326,9.1
"52","1981M04",3.50857000324615,4.15706856227143,12.33,2.179,9.4
"53","1981M05",3.51392154754956,4.14200551596034,12.4,2.0895,9.6
"54","1981M06",3.52145805749789,4.16369110303193,12.66,1.9738,9.7
"55","1981M07",3.52865540245539,4.16698599892878,13.79,1.8764,9.8
"56","1981M08",3.53827406721763,4.17027007412997,14.18,1.821,9.9
"57","1981M09",3.54648727468759,4.17190807613421,14.79,1.817,10
"58","1981M10",3.55579546800527,4.19456276669901,16.33,1.8427,10.1
"59","1981M11",3.5664486195433,4.181680140868,15.06,1.9038,10.2
"60","1981M12",3.57498647896588,4.16698599892878,15.44,1.9052,10.3
"61","1982M01",3.58143436132169,4.16698599892878,15.13,1.8875,10.4
"62","1982M02",3.5813063862575,4.17354339947494,14.48,1.8468,10.4
"63","1982M03",3.59050990711338,4.17517605289882,13.57,1.8072,10.5
"64","1982M04",3.59875663549435,4.18814219889609,13.77,1.7721,10.5
"65","1982M05",3.60481272111719,4.19775765759553,13.35,1.8115,10.6
"66","1982M06",3.6096708053229,4.1832995744203,13,1.7578,10.6
"67","1982M07",3.61307886810281,4.1832995744203,12.37,1.7348,10.7
"68","1982M08",3.61466290203192,4.19296148533204,11.11,1.7267,10.8
"69","1982M09",3.61657165913961,4.19296148533204,10.88,1.7141,10.9
"70","1982M10",3.62149013312045,4.18653059500175,9.79,1.6978,11
"71","1982M11",3.62640887078538,4.17027007412997,9.39,1.633,11.1
"72","1982M12",3.62719978065289,4.1832995744203,10.62,1.6185,11.2
"73","1983M01",3.62986528821728,4.19616148806271,11.21,1.5733,11.2
"74","1983M02",3.63353906711172,4.21200968030273,11.33,1.5328,11.3
"75","1983M03",3.63563107561279,4.19775765759553,10.98,1.4906,11.3
