U.S. Crude Oil Composite Acquisition Cost by Refiners
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=R0000____3&f=M
20:27:27 GMT+0200 (中欧夏令时间)
Data source: U.S. Energy Information Administration
Month,U.S. Crude Oil Composite Acquisition Cost by Refiners Dollars per Barrel
Feb 2023,75.13
Jan 2023,75.6
Dec 2022,76.56
Nov 2022,84.57
Oct 2022,88.02
Sep 2022,86.57
Aug 2022,95.8
Jul 2022,102.82
Jun 2022,114.45
May 2022,109.76
Apr 2022,105.12
Mar 2022,106.96
Feb 2022,90.12
Jan 2022,80.19
Dec 2021,71.98
Nov 2021,78.47
Oct 2021,78.83
Sep 2021,71.1
Aug 2021,67.89
Jul 2021,71.98
Jun 2021,70.55
May 2021,65.15
Apr 2021,62.4
Mar 2021,61.97
Feb 2021,58.41
Jan 2021,51.39
Dec 2020,46.2
Nov 2020,40.68
Oct 2020,39.21
Sep 2020,39.81
Aug 2020,42.42
Jul 2020,40.08
Jun 2020,36.8
May 2020,23.55
Apr 2020,19.32
Mar 2020,32.55
Feb 2020,51.37
Jan 2020,57.92
Dec 2019,60.27
Nov 2019,57.88
Oct 2019,55.85
Sep 2019,58.6
Aug 2019,56.9
Jul 2019,60.53
Jun 2019,59.16
May 2019,65.11
Apr 2019,66.51
Mar 2019,61.64
Feb 2019,57.62
Jan 2019,52.29
Dec 2018,48.83
Nov 2018,59.01
Oct 2018,70.99
Sep 2018,69.29
Aug 2018,67.68
Jul 2018,70.29
Jun 2018,68.35
May 2018,68.91
Apr 2018,64.41
Mar 2018,60.81
Feb 2018,61.74
Jan 2018,63.25
Dec 2017,59.53
Nov 2017,57.75
Oct 2017,52.67
Sep 2017,50.78
Aug 2017,48.22
Jul 2017,46.27
Jun 2017,45.25
May 2017,48.47
Apr 2017,49.47
Mar 2017,48.65
Feb 2017,51.24
Jan 2017,49.99
Dec 2016,48.66
Nov 2016,44.06
Oct 2016,46.85
Sep 2016,42.73
Aug 2016,42.7
Jul 2016,43.26
Jun 2016,45.96
May 2016,42.88
Apr 2016,37.71
Mar 2016,33.82
Feb 2016,28.53
Jan 2016,29.99
Dec 2015,35.63
Nov 2015,41.43
Oct 2015,44.77
Sep 2015,44.38
Aug 2015,44.97
Jul 2015,53.4
Jun 2015,60.12
May 2015,58.65
Apr 2015,53.51
Mar 2015,47.99
Feb 2015,48.92
Jan 2015,47
Dec 2014,60.7
Nov 2014,75.66
Oct 2014,84.99
Sep 2014,92.26
Aug 2014,95.61
Jul 2014,101.22
Jun 2014,102.51
May 2014,100.61
Apr 2014,100.15
Mar 2014,100.09
Feb 2014,99.36
Jan 2014,93.58
Dec 2013,94.32
Nov 2013,93.32
Oct 2013,100.41
Sep 2013,105.7
Aug 2013,106.2
Jul 2013,103.85
Jun 2013,98.67
May 2013,100.17
Apr 2013,99.5
Mar 2013,101.23
Feb 2013,101.45
Jan 2013,100.78
Dec 2012,95.06
Nov 2012,96.78
Oct 2012,100.02
Sep 2012,101.97
Aug 2012,97.7
Jul 2012,92.84
Jun 2012,91.96
May 2012,103.17
Apr 2012,109.68
Mar 2012,110.92
Feb 2012,107.18
Jan 2012,104.71
Dec 2011,105.69
Nov 2011,107.28
Oct 2011,100.57
Sep 2011,99.39
Aug 2011,97.7
Jul 2011,104.68
Jun 2011,104.23
May 2011,107.84
Apr 2011,112.51
Mar 2011,102.43
Feb 2011,90.66
Jan 2011,88.04
Dec 2010,85.95
Nov 2010,80.85
Oct 2010,77.76
Sep 2010,73.85
Aug 2010,74.58
Jul 2010,73.73
Jun 2010,72.66
May 2010,72.66
Apr 2010,80.83
Mar 2010,77.43
Feb 2010,74.58
Jan 2010,75.48
Dec 2009,72.95
Nov 2009,74.48
Oct 2009,72.08
Sep 2009,67.74
Aug 2009,67.99
Jul 2009,63.58
Jun 2009,65.72
May 2009,55.96
Apr 2009,48.78
Mar 2009,45.57
Feb 2009,38.15
Jan 2009,37.45
Dec 2008,37.67
Nov 2008,53.33
Oct 2008,74.22
Sep 2008,98.91
Aug 2008,113.74
Jul 2008,129.03
Jun 2008,127.32
May 2008,117.64
Apr 2008,106.09
Mar 2008,97.96
Feb 2008,89.09
Jan 2008,86.48
Dec 2007,85.29
Nov 2007,86.78
Oct 2007,79.87
Sep 2007,73.54
Aug 2007,69.46
Jul 2007,71.24
Jun 2007,65.14
May 2007,61.71
Apr 2007,60.68
Mar 2007,56.84
Feb 2007,54.45
Jan 2007,50.77
Dec 2006,55.98
Nov 2006,53.61
Oct 2006,54.04
Sep 2006,58.92
Aug 2006,67.77
Jul 2006,68.86
Jun 2006,65.13
May 2006,65.34
Apr 2006,62.98
Mar 2006,56.38
Feb 2006,54.82
Jan 2006,57.33
Dec 2005,52.51
Nov 2005,52.13
Oct 2005,57.18
Sep 2005,60.18
Aug 2005,59.3
Jul 2005,53.83
Jun 2005,50.3
May 2005,44.84
Apr 2005,46.71
Mar 2005,46.78
Feb 2005,41.05
Jan 2005,39.01
Dec 2004,36.6
Nov 2004,41.77
Oct 2004,46.13
Sep 2004,41.35
Aug 2004,40.3
Jul 2004,36.68
Jun 2004,34.59
May 2004,36.32
Apr 2004,33.47
Mar 2004,33.1
Feb 2004,31.72
Jan 2004,30.93
Dec 2003,29.28
Nov 2003,28.28
Oct 2003,27.75
Sep 2003,26.39
Aug 2003,29.15
Jul 2003,28.55
Jun 2003,27.92
May 2003,25.74
Apr 2003,26.02
Mar 2003,30.65
Feb 2003,33
Jan 2003,30.52
Dec 2002,26.93
Nov 2002,24.6
Oct 2002,26.7
Sep 2002,27.66
Aug 2002,26.19
Jul 2002,25.16
Jun 2002,24.05
May 2002,25.03
Apr 2002,24.1
Mar 2002,22
Feb 2002,18.43
Jan 2002,17.38
Dec 2001,16.52
Nov 2001,17.24
Oct 2001,20.04
Sep 2001,23.73
Aug 2001,24.44
Jul 2001,23.76
Jun 2001,24.92
May 2001,25.31
Apr 2001,23.87
Mar 2001,24.05
Feb 2001,26.09
Jan 2001,25.45
Dec 2000,26.31
Nov 2000,31
Oct 2000,30.63
Sep 2000,31.13
Aug 2000,29.01
Jul 2000,28.74
Jun 2000,29.13
May 2000,26.46
Apr 2000,24.97
Mar 2000,28.41
Feb 2000,27.55
Jan 2000,25.49
Dec 1999,24.51
Nov 1999,23.12
Oct 1999,21.93
Sep 1999,21.68
Aug 1999,19.57
Jul 1999,18.07
Jun 1999,16.06
May 1999,15.95
Apr 1999,14.95
Mar 1999,12.13
Feb 1999,10.55
Jan 1999,10.43
Dec 1998,9.81
Nov 1998,11.56
Oct 1998,12.61
Sep 1998,13.01
Aug 1998,11.77
Jul 1998,11.9
Jun 1998,11.94
May 1998,12.95
Apr 1998,13.06
Mar 1998,12.84
Feb 1998,13.98
Jan 1998,15.04
